CCSS ID,Standard Group,Grade Group,Category,OLO ID,OLO Description
2.RI.1,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.1,"Ask and answer questions (e.g. who, what, where, when, why, and how) to show an understanding of key details in an expository text. (e.g. expository texts of history/social studies, science, technology)"
1.RI.2,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.2,Identify the main topic of an expository paragraph.
1.RI.2,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.3,"Identify and retell the key details of information that explain, define, and describe the main topic of an expository text."
2.RI.2,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.4,Identify the main topic of a multi-paragraph expository text and distinguish it from any subtopics.
2.RI.2,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.5,"Recognize the differences between information given about the main topic and that shown about related topics. (e.g. main topic/dinosaurs, subtopics/carnivores and herbivores)"
2.RI.3,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.6,Describe and explain how two or more people are connected in an expository text.
2.RI.3,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.7,Describe and explain how a series of events are connected in an expository text on history or social studies.
2.RI.3,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.8,Describe and explain how ideas and discoveries are connected in a scientific expository text.
2.RI.3,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.9,Describe and explain how the steps of a procedure or the process of an invention are connected in a technical expository text.
2.RI.5,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.11,"Know and use print or digital text features (e.g. captions, subheadings) to locate key details and information in a text."
2.RI.5,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.12,"Know and use print or digital references (e.g. glossaries, search fields) to locate information efficiently."
K.RI.6,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.13,Name the author of an expository text and describe how the speaker of the text presents ideas and information.
2.RI.6,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.14,"Identify the main purpose of a text, including what the author wants to answer, to explain, or to define."
2.RI.8,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.15,"Describe how reasons support specific points the author makes in a historic, scientific, or technical text."
2.RI.9,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.16,"Compare and contrast the most important points of information and description presented by two texts on the same topics in history/social studies, science, or technology."
2.RI.10,OLO.ELA,Elementary,Expository Text,OLO.ET.1.2.17,"By the end of year, read and comprehend expository Texts, including history/social studies, science, and technical texts in the middle band of the K-2 grade band poficiently, with scaffolding as needed at the high end of the range."
2.RF.4.a,OLO.ELA,Elementary,Fluency,OLO.F.1.2.25,Read text in the K-2 grade band with purpose and understanding.
2.RF.4.b,OLO.ELA,Elementary,Fluency,OLO.F.1.2.26,"Read text within the K-2 grade band orally with accuracy, appropriate rate, and expression on successive readings."
"K.L.1.b, 1.L.1.b",OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.1,Use frequently occurring nouns and verbs.
"K.L.1.c,1.L.1.c",OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.2,"Form regular plural nouns orally by adding /s/ or /es/ (e.g., dog, dogs; wish, wishes)."
1.L.1.b,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.3,Use common nouns correctly in sentences.
1.L.1.b,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.4,Use proper nouns with correct capitalization in sentences.
1.L.1.b,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.5,Use possessive nouns correctly in sentences.
2.L.1.a,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.6,Use collective nouns as part of subjects or objects in a sentence.
2.L.1.b,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.7,"Form and use frequently occuring irregular singular nouns (e.g. foot, child, tooth, mouse)"
2.L.1.b,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.8,"Form and use frequently occurring irregular plural nouns (e.g., feet, children, teeth, mice, fish)."
1.L.1.d,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.9,"Use personal pronouns of the right number, person, and gender in simple entences."
1.L.1.d,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.10,"Use possessive pronouns of the right number, person, and gender in simple sentences."
"K.L.1.d, 1.L.1.d",OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.11,"Use interrogative pronouns (e.g., who, what, where, when, why, how)."
"1.L.1.d,2.1.L.d",OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.12,"Use indefinite pronouns in simple sentences. (e.g. anyone, everything)."
2.1.L.c,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.13,"Use reflexive pronouns (e.g., myself, ourselves) with reference to nouns or pronouns in a sentence."
1.L.1.e,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.14,"Form and use the simple present, past, and future tense of regular verbs."
2.L.1.d,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.15,"Form and use the the present, past, and future tense of frequently occurring irregular verbs. (e.g. sit, hide, tell)"
1.L.1.c,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.16,Use singular nouns with verbs that agree in simple sentences.(e.g. He hops).
1.L.1.c,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.17,Use plural nouns with verbs that agree in simple sentences. (e.g. They hop).
"1.L.1.f, 2.L.1.e",OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.18,Use frequently occurring adjectives to modify nouns.
2.L.1.e,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.19,Use frequently occurring adverbs as modifiers.
2.L.1.e,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.20,Choose between the use of an adverb or adjective depending on what is to be modified.
1.L.1.g,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.21,"Use frequently occuring conjunctions (e.g. and, but, or, so, because) to join parts of simple or compound sentences."
1.L.1.h,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.22,"Use determiners (e.g. definite and indefinite articles, demonstrative pronouns)."
1.L.1.i,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.23,"Use frequently occurring prepositions of time, place, and direction (e.g., during, beyond, toward) in sentences."
1.L.1.j,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.24,"Produce and expand complete simple declarative, interrogative, imperative, and exclamatory sentences in response to prompts."
2.L.1.f,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.25,"Produce, expand, and rearrange complete simple sentences.(e.g., The boy watched the movie; The little boy watched the movie)"
2.L.1.f,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.26,"Produce, expand, and rearrange complete compound sentences (e.g. The boy watched the movie and his uncle finished the popcorn. The uncle finished the popcorn and the little boy watched the movie)"
2.L.3.a,OLO.ELA,Elementary,Grammar & Usage,OLO.GU.1.2.27,"Compare formal and informal uses of English in writing, speaking, and reading."
1.RL.1,OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.1,"Identify key details in a literary text. (e.g. story, poem, script of a play)"
"1.RL.1, 2.RL.1",OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.2,"Ask and answer questions (e.g. who, what, where, when, why, and how) to show an understanding of key details in a literary text."
"1.RL.2, 2.RL.2",OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.3,Retell stories and share key details found in them.
"1.RL.2, 2.RL.2",OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.4,Describe the central message or theme of a story by using key details from the text.
2.RL.2,OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.5,Retell fables and folktales from diverse cultures.
2.RL.2,OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.6,Determine the moral of a fable and the lesson of a folktale by using key details from the text.
"1.RL.3, 2.RL.3",OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.7,"Identify and describe key details about characters in a story or drama. (appearance, traits, thoughts, and feelings.)"
"1.RL.3, 2.RL.3",OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.8,Describe how characters in a story respond to major events or challenges.
"1.RL.3, 2.RL.3",OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.9,Describe the setting of a story with key details about the time and place that its events occur.
"1.RL.3, 2.RL.3",OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.10,Describe the sequence of major events in a story or drama.
2.RL.5,OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.11,"Describe the overall structure of a story, from the rising action in the beginning to the falling action, and resolution in the ending."
2.RL.5,OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.12,Identify who the narrators are and when they speak in literary texts.
2.RL.6,OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.13,Acknowledge the different perspectives among the characters in a literary text.
2.RL.6,OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.14,"Distinguish among the perspectives of the author, narrator, and characters in a literary text."
2.R.L.7,OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.15,"Interpret how details gained from words in print or digital text add to an understanding of character, setting, or events."
1.RL.9,OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.16,Compare and contrast the adventures and experiences of characters in stories.
2.RL.9,OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.17,"Compare and contrast two or more version of same story (e.g., Cinderella stories) by different authors."
2.RL.9,OLO.ELA,Elementary,Literary Text,OLO.LT.1.2.18,"Compare and contrast two or more version of same story (e.g., Cinderella stories) from different cultures."
