CCSS ID,Standard Group,Grade Group,Category,OLO ID,OLO Description
11-12.R.H.1,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.1,Cite specific textual evidence to support analysis of primary and secondary sources.
11-12.R.H.1,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.2,Connect insights gained from specific details to an understanding of the text as a whole.
11-12.R.H.2,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.3,Determine the central ideas of primary and secondary sources.
11-12.R.H.2,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.4,Determine the key details of information in primary and secondary sources.
11-12.R.H.2,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.5,Provide an accurate summary that makes clear the relationships among the key details and ideas.
11-12.R.H.3,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.6,Evaluate various explanations for the actions of key individuals and the sequence of events portrayed in a text.
11-12.R.H.3,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.7,Determine which explanation best fits with the text evidence about the actions and events.
11-12.R.H.3,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.8,Determine which parts of the text do not lend themselves to a clear explanation.
11-12.R.H.4,OLO_ELA,High School,History & Social Studies Vocabulary,OLO.11.12.HSV.1,Determine the meaning of general academic words and phrases as they are used in a text.
11-12.R.H.4,OLO_ELA,High School,History & Social Studies Vocabulary,OLO.11.12.HSV.2,"Analyze how an author uses and refines the meaning of a key term over the course of a text (e.g., how John Locke defines human rights in the Second Treatise)."
11-12.R.H.5,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.9,Analyze in detail the structure of a primary source text. 
11-12.R.H.6,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.10,Evaluate authors‰Ûª differing points of view on the same historical event or issue.
11-12.R.H.6,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.11,"Assess the claims, reasoning, and evidence of authors with different points of view on the same event or issue."
11-12.R.H.7,OLO_ELA,High School,Informative Text Features,OLO.11.12.ITF.1,"Integrate and evaluate multiple sources of information presented in diverse formats and media (e.g., visually, quantitatively, as well as in words) in order to address a question or solve a problem."
11-12.R.H.8,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.12,"Compare and contrast an author‰Ûªs claims, reasoning, and evidence with other arguments that support or challenge them. "
11-12.R.H.9,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.13,"Integrate information from diverse sources, both primary and secondary. "
11-12.R.H.9,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.14,Construct a coherent understanding of an idea or event from diverse sources.
11-12.R.H.9,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.15,Note discrepancies among primary and secondary sources that give information about an idea or event.
11-12.R.H.10,OLO_ELA,High School,History & Social Studies Text,OLO.11.12.HST.16,"By the end of grade 12, read and comprehend history/social studies texts in the grades 11‰ÛÒ12 text complexity band independently and proficiently."
11-12.R.ST.1,OLO_ELA,High School,Science & Technology Text,OLO.11.12.STT.1,Cite specific textual evidence to support analysis of scientific phenomena and technical procedures. 
11-12.R.ST.1,OLO_ELA,High School,Science & Technology Text,OLO.11.12.STT.2,Identify distinctions the author makes and any inconsistencies the information has in a scientific or technical account.
11-12.R.ST.2,OLO_ELA,High School,Science & Technology Text,OLO.11.12.STT.3,"Determine the central ideas or conclusions of a text about complex concepts, processes, or phenomena."
11-12.R.ST.2,OLO_ELA,High School,Science & Technology Text,OLO.11.12.STT.4,"Paraphrase complex concepts, processes, or information presented in a text using simpler but still accurate terms."
11-12.R.ST.2,OLO_ELA,High School,Science & Technology Text,OLO.11.12.STT.5,Use accurate paraphrasing in a summary of a complex scientific or technical text.
11-12.R.ST.3,OLO_ELA,High School,Science & Technology Text,OLO.11.12.STT.6," Follow precisely a complex multistep procedure. (e.g. carrying out experiments, taking measurements, or performing technical tasks). "
11-12.R.ST.3,OLO_ELA,High School,Science & Technology Text,OLO.11.12.STT.7,Analyze the specific results of a multistep procedurethe  based on explanations of it in the text.
11-12.R.ST.3,OLO_ELA,High School,Science & Technology Text,OLO.11.12.STT.8,"Predict, observe, and record the results of a complex multistep procedure."
11-12.R.ST.3,OLO_ELA,High School,Science & Technology Text,OLO.11.12.STT.9,Compare and contrast the prediction and observations of a procedure with those the text had projected.
11-12.R.ST.4,OLO_ELA,High School,Science & Technology Vocabulary,OLO.11.12.STV.1,"Determine the meaning of scientific symbols (e.g. symbols of elements, chemical formulae, temperature, and measurements)"
11-12.R.ST.4,OLO_ELA,High School,Science & Technology Vocabulary,OLO.11.12.STV.2,Determine and distinguish the meaning of common and scientific nomenclature. ( e.g. coyote vs. Canis Latrans)
11-12.R.ST.4,OLO_ELA,High School,Science & Technology Vocabulary,OLO.11.12.STV.3,Determine the meaning of mathematical symbols as applied to scientific and technical texts.
11-12.R.ST.4,OLO_ELA,High School,Science & Technology Vocabulary,OLO.11.12.STV.4,Determine the meaning of domain-specific terms and words used in scientific and technical topics and texts relevant to grades 11-12.
11-12.R.ST.5,OLO_ELA,High School,Science & Technology Text,OLO.11.12.STT.10,"Analyze taxonomies, categories, and scientific classifications which structure information in a text."
