CCSS ID,Standard Group,Grade Group,Category,OLO ID,OLO Description
5.RL.1,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.1,Quote accurately from a literary text.
"5.RL.1, 6.RL.1",OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.2,Cite literary textual evidence.
"5.RL.1, 6.RL.1",OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.3,Explain explicit meaning in a literary text with cited evidence.
"5.RL.1, 6.RL.1",OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.4,Draw inferences from a literary text supported by cited evidence.
"5.RL.2, 6.RL.2",OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.5,Determine the theme or central idea of a literary text.
6.RL.2,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.6,Determine how particular details in a literary text convey its theme or central message.
"5.RL.2, 6.RL.2",OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.7,Determine how the speaker or voice of a poem reflects upon a theme.
5.RL.2,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.8,Determine how characters in a narratives and dramas respond to challenges
"5.RL.2, 6.RL.2",OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.9,Provide an ojective summary of a literary text distinct from personal opinions or judgments.
5.RL.3,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.10,"Compare and contrast two or more events in a narrative or drama, drawing on specific details in the text or script."
6.RL.3,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.11,Describe how a particular narrative story’s plot and a drama's action unfold in a series of episodes.
5.RL.3,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.12,Compare and contrast two or more characters and their interaction in a narrative story or drama.
6.RL.3,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.13,Describe how the characters respond or change as the plot of the story moves toward a resolution.
5.RL.3,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.14,"Compare and contrast two or more settings in a narrative or drama, drawing on specific details in the text or script."
"5.RL.4, 6.RL.4",OLO.ELA,Elementary,Vocabulary,OLO.V.5.6.1,Determine the meaning of words and phrases as they are used in a literary text.
"5.RL.4, 6.RL.4",OLO.ELA,Elementary,Vocabulary,OLO.V.5.6.2,Determine the meaning of metaphors and similes.
"5.RL.4, 6.RL.4",OLO.ELA,Elementary,Vocabulary,OLO.V.5.6.3,"Determine the meaning of other forms of figurative language (e.g. personification, onomatopoeia) that appear in a story, drama, or poem."
6.RL.4,OLO.ELA,Elementary,Vocabulary,OLO.V.5.6.4,Analyze the impact of a specific word choice on the tone of a literary text.
"5.RL.5, 6.RL.5",OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.15,Explain how a series of chapters in a book of fiction fit together to provide the overall structure of a particular narrative story.
6.RL.5,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.16,Analyze how a particular sentence or chapter fits into the overall structure of a narrative story or book of fiction.
6.RL.5,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.17,"Determine how a particular sentence or chapter contributes to the development of the theme, setting, or plot of a narrative story or book of fiction."
5.RL.5,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.18,Explain how a series of acts and scenes fit together to provide the overall structure of a particular drama.
6.RL.5,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.19,Analyze how one particular scene or act fits into the overall structure of a drama.
6.RL.5,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.20,Determine how a particular structure or form of a poem contributes to the development of its theme or setting.
5.RL.5,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.21,Explain how a series of lines and stanzas fit together to provide the overall structure of a particular poem.
6.RL.5,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.22,Analyze how a particular line or stanza fits into the overall structure of a poem.
6.RL.5,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.23,"Determine how a particular scene or act contributes to the development of the theme, setting, or plot of a drama."
6.RL.6,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.24,"Explain how an author develops the point of view of the narrator or speaker in a the text of a story, drama, or poem."
5.RL.6,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.25,Describe how a narrator’s or speaker’s point of view influences how events in a narrative story or drama are described.
5.RL.7,OLO.ELA,Elementary,Text Features,OLO.TF.5.6.1,"Analyze how visual and multimedia elements contribute to the meaning, tone, or beauty of a literary text (e.g. graphic novel, multimedia presentation of fiction)"
6.RL.7,OLO.ELA,Elementary,Text Features,OLO.TF.5.6.2,"Compare and contrast the experience of reading a story to listening to or viewing an audio, video, or live version of the text. (e.g. imaging what is in a text vs. perceiving what is in a recording)"
6.RL.7,OLO.ELA,Elementary,Text Features,OLO.TF.5.6.3,"Compare and contrast the experience of reading a drama to listening to or viewing an audio, video, or live version of the text. (e.g. imaging what is in a text vs. perceiving what is in a recording)"
6.RL.7,OLO.ELA,Elementary,Text Features,OLO.TF.5.6.4,"Compare and contrast the experience of reading a poem to listening to or viewing an audio, video, or live version of the text. (e.g. imaging what is in a text vs. perceiving what is in a recording)"
5.RL.9,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.26,"Compare and contrast stories in the same genre (e.g., mysteries and adventure stories) with similar themes and topics."
6.RL.9,OLO.ELA,Elementary,Literary Text,OLO.LT.5.6.27,Compare and contrast texts in different genres (e.g. historical novels and fantasy stories) with similar themes and topics.
6.RL.9,OLO.ELA,Elementary,Text Features,OLO.TF.5.6.5,Compare and contrast different forms of literary texts (e.g. poems and stories)
6.RL.9,OLO.ELA,Elementary,Text Features,OLO.TF.5.6.6,Compare and contrast similar themes and topics shared by different forms of literary texts.
6.RL.10,OLO.ELA,Elementary,Literary Text,OLO.F.5.6.1,"By the end of the year, read and comprehend literature, including stories, dramas, and poems within the grade band."
5.R.I.1,OLO.ELA,Elementary,Expository Text,OLO.ET.5.6.1,"Quote accurately from an expository text including history/social studies, science, and technical texts."
6.R.I.1,OLO.ELA,Elementary,Expository Text,OLO.ET.5.6.1,"Cite textual evidence from an expository text. (e.g. history/social studies, science, technology)"
